cal,VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
6pt,100,small,low,100,Low Density,4.415625,2.4697488426522236,1.589625,2.1585203946048424,0.176625,0.40650591288691845,-0.2687948383059853
6pt,100,small,low,100,Medium Density,8.83125,9.686380257982947,3.17925,3.411619774649844,0.35325,0.4069530159875764,-0.2687948383059853
6pt,100,small,low,100,High Density,17.6625,18.284630505429593,6.3585,6.35500302743727,0.7065,0.9751913662143858,-0.2687948383059853
6pt,100,small,normal,100,Low Density,35.325,37.313019291009574,12.717,13.234663856456699,1.413,2.0981717899110905,-0.1764927648791974
6pt,100,small,normal,100,Medium Density,70.65,72.56152020648192,25.434,25.959675432572922,2.826,3.471234667038506,-0.1764927648791974
6pt,100,small,normal,100,High Density,141.3,145.03505302676848,50.868,52.490024753489244,5.652,5.741064262704562,-0.1764927648791974
6pt,100,medium,low,100,Low Density,4.415625,5.201549432487152,1.589625,1.2894465642846011,0.176625,0.7010425194040361,0.33766306808636926
6pt,100,medium,low,100,Medium Density,8.83125,9.270050422308165,3.17925,2.8850671940330623,0.35325,0.4683330882140096,0.33766306808636926
6pt,100,medium,low,100,High Density,17.6625,17.49720965752214,6.3585,6.668611662299464,0.7065,0.4831347246163278,0.33766306808636926
6pt,100,medium,normal,100,Low Density,35.325,36.78638497227245,12.717,12.510371402480615,1.413,1.2239828198905192,-0.019943179466801932
6pt,100,medium,normal,100,Medium Density,70.65,69.42339346663452,25.434,24.45759030938325,2.826,2.9540685559338935,-0.019943179466801932
6pt,100,medium,normal,100,High Density,141.3,140.48156695642533,50.868,51.286432079654446,5.652,5.185484167977634,-0.019943179466801932
6pt,100,large,low,100,Low Density,4.415625,3.2280878502989596,1.589625,1.8689328071769833,0.176625,-0.10652594942610555,-0.4672358521568725
6pt,100,large,low,100,Medium Density,8.83125,8.682950202660825,3.17925,2.7147486954619517,0.35325,-0.014203505153125183,-0.4672358521568725
6pt,100,large,low,100,High Density,17.6625,17.49874718237123,6.3585,6.486065745581468,0.7065,0.5190820719086359,-0.4672358521568725
6pt,100,large,normal,100,Low Density,35.325,35.638256138703106,12.717,11.868390377793766,1.413,1.5335238658235637,-0.9246430746915518
6pt,100,large,normal,100,Medium Density,70.65,69.74379096935589,25.434,25.496293021656598,2.826,3.026736268929173,-0.9246430746915518
6pt,100,large,normal,100,High Density,141.3,138.43278039723873,50.868,49.46316777021519,5.652,5.906880141877837,-0.9246430746915518
6pt,120,small,low,120,Low Density,4.415625,4.090304147853418,1.589625,0.8797526932562602,0.176625,0.028539228381600435,-0.3673866523717644
6pt,120,small,low,120,Medium Density,8.83125,7.983414244096119,3.17925,2.465846504839838,0.35325,0.4934666803500684,-0.3673866523717644
6pt,120,small,low,120,High Density,17.6625,17.233270163580077,6.3585,7.333789968557571,0.7065,0.44847945791103805,-0.3673866523717644
6pt,120,small,normal,120,Low Density,35.325,37.46502807962525,12.717,13.699574491811294,1.413,1.7747404760973866,-0.34148443135585105
6pt,120,small,normal,120,Medium Density,70.65,73.23654967858839,25.434,26.452443262424055,2.826,3.1539110180849095,-0.34148443135585105
6pt,120,small,normal,120,High Density,141.3,144.64483932182284,50.868,51.584660832210375,5.652,5.661710436177948,-0.34148443135585105
6pt,120,medium,low,120,Low Density,4.415625,4.2586081560373445,1.589625,1.8870280081746147,0.176625,0.15223755091829017,0.0535634858353261
6pt,120,medium,low,120,Medium Density,8.83125,9.8674329652845,3.17925,2.2214376725139147,0.35325,0.31886439881582074,0.0535634858353261
6pt,120,medium,low,120,High Density,17.6625,17.151776103267917,6.3585,6.619764381755624,0.7065,0.8250286786125106,0.0535634858353261
6pt,120,medium,normal,120,Low Density,35.325,35.98053037959251,12.717,13.002084509904481,1.413,1.3383818010129354,-0.06901475815454415
6pt,120,medium,normal,120,Medium Density,70.65,70.14443774679728,25.434,25.662097167629568,2.826,3.037851342661275,-0.06901475815454415
6pt,120,medium,normal,120,High Density,141.3,140.09798316700162,50.868,51.09597486466299,5.652,5.58779610186464,-0.06901475815454415
6pt,120,large,low,120,Low Density,4.415625,3.544799835588448,1.589625,2.0060261032048707,0.176625,0.6396711341155565,-0.3990331069484636
6pt,120,large,low,120,Medium Density,8.83125,8.86427426377346,3.17925,4.10319613112068,0.35325,-0.07751145848282828,-0.3990331069484636
6pt,120,large,low,120,High Density,17.6625,17.280130371749305,6.3585,5.997500067335742,0.7065,0.8979915944673383,-0.3990331069484636
6pt,120,large,normal,120,Low Density,35.325,35.19240638007664,12.717,12.791352877344085,1.413,1.554818431581077,-0.050873150805911385
6pt,120,large,normal,120,Medium Density,70.65,70.15759931078105,25.434,25.459556781762984,2.826,3.8204557819285037,-0.050873150805911385
6pt,120,large,normal,120,High Density,141.3,137.4348620498944,50.868,49.99099619058873,5.652,6.241937151186275,-0.050873150805911385
6pt,135,small,low,135,Low Density,4.415625,5.834167138623643,1.589625,0.9735797049835724,0.176625,0.05866957436742071,-0.16009582266038383
6pt,135,small,low,135,Medium Density,8.83125,9.835175371425,3.17925,3.4997652765929086,0.35325,0.871042735238304,-0.16009582266038383
6pt,135,small,low,135,High Density,17.6625,16.569511523548545,6.3585,6.059416568155228,0.7065,1.2564027050140867,-0.16009582266038383
6pt,135,small,normal,135,Low Density,35.325,36.33110700282048,12.717,13.929204545433686,1.413,1.8053729002143648,-0.5740769850929016
6pt,135,small,normal,135,Medium Density,70.65,73.38666640970239,25.434,26.548518623828944,2.826,3.500626144614893,-0.5740769850929016
